Start,End,Colour
2012-04-20 10:55:00,2012-04-20 12:20:00,Amber
2012-04-27 15:20:00,2012-04-27 17:30:00,Amber
2012-04-29 06:10:00,2012-04-29 08:30:00,Amber
2012-04-29 08:30:00,2012-04-29 10:10:00,Red
2012-05-04 21:20:00,2012-05-04 23:55:00,Amber
2012-05-18 08:55:00,2012-05-18 10:45:00,Amber
2012-05-26 11:05:00,2012-05-26 12:50:00,Amber
2012-05-28 02:40:00,2012-05-28 04:35:00,Amber
2012-06-13 15:15:00,2012-06-13 16:40:00,Amber
2012-07-05 09:20:00,2012-07-05 10:20:00,Amber
2012-07-18 06:10:00,2012-07-18 08:20:00,Amber
2012-07-21 17:35:00,2012-07-21 18:40:00,Amber
2012-07-24 01:55:00,2012-07-24 10:40:00,Amber
2012-07-25 11:30:00,2012-07-25 14:20:00,Amber
2012-07-27 11:00:00,2012-07-27 12:30:00,Amber
2012-07-31 17:10:00,2012-07-31 18:35:00,Amber
2012-08-11 06:40:00,2012-08-11 08:25:00,Amber
2012-09-24 13:20:00,2012-09-24 14:20:00,Amber
2012-09-24 20:40:00,2012-09-24 21:50:00,Amber
2012-09-24 21:50:00,2012-09-25 00:50:00,Red
2013-03-19 15:50:00,2013-03-19 19:15:00,Amber
2013-03-26 16:50:00,2013-03-26 19:35:00,Amber
2013-04-05 08:40:00,2013-04-05 10:30:00,Amber
2013-04-06 00:00:00,2013-04-06 02:30:00,Amber
2013-04-25 19:30:00,2013-04-25 21:00:00,Amber
2013-04-30 14:20:00,2013-04-30 16:15:00,Amber
2013-05-08 21:45:00,2013-05-09 01:30:00,Amber
2013-05-16 13:35:00,2013-05-16 15:20:00,Amber
2013-05-20 20:10:00,2013-05-20 21:20:00,Amber
2013-05-21 11:10:00,2013-05-21 12:30:00,Amber
2013-05-22 01:30:00,2013-05-22 03:20:00,Amber
2013-05-22 03:20:00,2013-05-22 04:10:00,Red
2013-05-22 04:10:00,2013-05-22 09:45:00,Black
2013-05-22 09:45:00,2013-05-22 10:30:00,Amber
2013-05-25 10:05:00,2013-05-25 12:25:00,Amber
2013-06-11 02:10:00,2013-06-11 05:15:00,Amber
2013-06-11 10:50:00,2013-06-11 12:00:00,Amber
2013-06-24 06:15:00,2013-06-24 10:20:00,Amber
2013-06-24 10:20:00,2013-06-24 11:35:00,Red
2013-06-24 11:35:00,2013-06-24 12:00:00,Amber
2013-07-07 16:05:00,2013-07-07 17:15:00,Amber
2013-07-14 23:35:00,2013-07-15 01:05:00,Amber
2013-07-26 08:00:00,2013-07-26 10:30:00,Amber
2013-08-30 03:40:00,2013-08-30 05:15:00,Amber
2013-08-30 07:55:00,2013-08-30 09:20:00,Amber
2013-09-04 07:30:00,2013-09-04 11:00:00,Amber
2014-03-29 11:10:00,2014-03-29 12:20:00,Amber
2014-03-30 19:45:00,2014-03-30 20:15:00,Amber
2014-03-30 20:15:00,2014-03-30 20:40:00,Red
2014-03-30 20:40:00,2014-03-30 22:30:00,Black
2014-03-30 22:30:00,2014-03-31 01:50:00,Amber
2014-03-31 08:40:00,2014-03-31 11:40:00,Amber
2014-04-03 04:45:00,2014-04-03 06:00:00,Amber
2014-05-05 02:00:00,2014-05-05 03:45:00,Amber
2014-05-08 20:45:00,2014-05-08 22:05:00,Amber
2014-05-08 22:05:00,2014-05-08 22:30:00,Red
2014-05-08 22:30:00,2014-05-08 23:40:00,Black
2014-05-08 23:40:00,2014-05-09 00:15:00,Red
2014-05-09 00:15:00,2014-05-09 02:05:00,Amber
2014-05-09 08:30:00,2014-05-09 10:20:00,Amber
2014-05-09 20:50:00,2014-05-09 22:20:00,Amber
2014-05-11 07:55:00,2014-05-11 11:55:00,Amber
2014-05-11 14:15:00,2014-05-11 21:50:00,Amber
2014-05-11 21:50:00,2014-05-11 23:55:00,Red
2014-05-11 23:55:00,2014-05-12 03:55:00,Amber
2014-05-20 15:30:00,2014-05-20 17:15:00,Amber
2014-05-21 03:15:00,2014-05-21 06:40:00,Amber
2014-06-08 21:35:00,2014-06-08 22:00:00,Amber
2014-06-08 22:00:00,2014-06-08 23:10:00,Red
2014-06-08 23:10:00,2014-06-08 23:45:00,Amber
2014-06-21 08:30:00,2014-06-21 10:50:00,Amber
2014-06-22 01:20:00,2014-06-22 02:05:00,Amber
2014-06-22 02:05:00,2014-06-22 05:05:00,Red
2014-06-22 05:05:00,2014-06-22 06:25:00,Amber
2014-07-22 15:50:00,2014-07-22 17:00:00,Amber
2014-07-24 22:15:00,2014-07-24 23:15:00,Amber
2014-08-01 20:15:00,2014-08-01 21:45:00,Amber
2014-08-03 00:40:00,2014-08-03 01:15:00,Amber
2014-08-12 18:35:00,2014-08-12 19:15:00,Amber
2014-08-12 19:15:00,2014-08-12 20:30:00,Red
2014-08-13 05:25:00,2014-08-13 05:55:00,Amber
2014-08-13 05:55:00,2014-08-13 07:15:00,Red
2014-08-13 07:15:00,2014-08-13 08:50:00,Amber
2014-08-13 10:50:00,2014-08-13 11:25:00,Amber
2014-08-13 11:25:00,2014-08-13 13:00:00,Red
2014-08-13 13:00:00,2014-08-13 15:55:00,Amber
2014-08-20 05:00:00,2014-08-20 06:50:00,Amber
2014-10-01 01:55:00,2014-10-01 03:30:00,Amber
2014-10-03 20:05:00,2014-10-03 21:45:00,Amber
2015-05-11 17:25:00,2015-05-11 19:35:00,Amber
2015-05-20 16:45:00,2015-05-20 17:30:00,Amber
2015-05-20 17:30:00,2015-05-20 19:40:00,Red
2015-05-20 19:40:00,2015-05-21 03:00:00,Amber
2015-05-23 03:30:00,2015-05-23 07:20:00,Amber
2015-05-23 10:10:00,2015-05-23 11:05:00,Amber
2015-05-23 14:40:00,2015-05-23 16:05:00,Amber
2015-05-23 16:05:00,2015-05-23 18:30:00,Red
2015-05-23 18:30:00,2015-05-23 19:20:00,Amber
2015-05-24 16:30:00,2015-05-24 17:40:00,Amber
2015-05-26 09:40:00,2015-05-26 10:00:00,Amber
2015-05-26 10:00:00,2015-05-26 10:25:00,Red
2015-05-26 10:25:00,2015-05-26 11:30:00,Black
2015-05-26 11:30:00,2015-05-26 12:30:00,Amber
2015-06-12 03:00:00,2015-06-12 04:20:00,Amber
2015-07-21 07:05:00,2015-07-21 08:25:00,Amber
2015-07-22 03:35:00,2015-07-22 15:30:00,Amber
2015-08-09 19:30:00,2015-08-09 21:30:00,Amber
2015-08-15 06:45:00,2015-08-15 08:00:00,Amber
2015-08-15 08:00:00,2015-08-15 10:25:00,Red
2015-08-15 10:25:00,2015-08-15 11:00:00,Amber
2015-09-02 05:35:00,2015-09-02 06:50:00,Amber
2015-09-21 06:15:00,2015-09-21 09:25:00,Amber
2015-09-26 14:20:00,2015-09-26 15:40:00,Amber
2015-10-03 21:45:00,2015-10-04 00:25:00,Amber
2015-10-04 04:25:00,2015-10-04 05:45:00,Amber
2016-01-05 14:00:00,2016-01-05 14:45:00,Amber
2016-04-04 16:35:00,2016-04-04 19:25:00,Amber
2016-04-10 09:30:00,2016-04-10 11:40:00,Amber
2016-04-13 06:30:00,2016-04-13 12:00:00,Amber
2016-04-22 08:20:00,2016-04-22 09:45:00,Amber
2016-05-03 18:10:00,2016-05-03 20:55:00,Amber
2016-05-10 06:00:00,2016-05-10 07:35:00,Amber
2016-05-10 07:35:00,2016-05-10 09:35:00,Red
2016-05-10 09:35:00,2016-05-10 11:20:00,Amber
2016-05-10 11:20:00,2016-05-10 13:45:00,Red
2016-05-10 13:45:00,2016-05-10 14:45:00,Amber
2016-05-21 01:55:00,2016-05-21 06:15:00,Amber
2016-05-28 16:35:00,2016-05-28 18:40:00,Amber
2016-06-06 06:25:00,2016-06-06 07:45:00,Amber
2016-06-06 11:30:00,2016-06-06 14:45:00,Amber
